roof surface gmlid; deviations geometry; mean distance to roof; 90th percentile distance to roof; building gmlid 
RCID_1e449bb6-c899-453c-86fc-2f8868f8367c;MULTIPOLYGON Z (((90851.45122693751 433764.4739676298 11.98126578702312, 90851.32603818947 433764.5336962373 12.47613959553866, 90851.47207987927 433764.9017212959 12.47613959553866, 90851.57063281104 433764.8859947642 11.98229147241925, 90851.45122693751 433764.4739676298 11.98126578702312)), ((90849.82687380447 433763.806159232 12.7932143599795, 90849.8442565562 433763.8056672673 12.7932143599795, 90850.07580928823 433763.6185125517 12.7932143599795, 90849.83191935233 433763.2889315573 12.44884673274094, 90849.51547762542 433763.3805862548 12.57557057766519, 90849.06948453106 433763.5097644216 12.75417521454794, 90848.97199999999 433763.538 12.7932143599795, 90849.06642675423 433763.8677084572 12.79444930494664, 90849.16099807978 433764.1979217117 12.79568614066598, 90849.33957290348 433764.1846161366 12.7932143599795, 90849.5586879261 433763.9979380811 12.7932143599795, 90849.58577850796 433763.9973235499 12.7932143599795, 90849.82687380447 433763.806159232 12.7932143599795)), ((90850.46468556582 433763.3375062429 11.9774670985818, 90850.60247234582 433763.3066946262 12.47613959553866, 90850.79557325499 433763.5906665515 11.9774670985818, 90850.86029461163 433763.5865850245 11.9774670985818, 90850.98423347931 433763.4569695675 12.22680334706023, 90851.14941766982 433763.4325313584 11.97867327336222, 90851.00900000001 433762.948 11.9774670985818, 90850.81089132234 433763.0053805202 12.05680269566583, 90850.38920323596 433763.1275189449 12.22567402685617, 90850.16709407269 433763.191851005 12.31462097907243, 90850.12221914995 433763.2048486507 12.3325918162491, 90850.25809181975 433763.6101637335 11.9774670985818, 90850.27805001495 433763.6153672423 11.9774670985818, 90850.46468556582 433763.3375062429 12.18716900150513)), ((90851.08093848267 433763.8475289494 12.38534072928065, 90851.20010216451 433764.1515491121 12.38534072928065, 90851.34990925684 433764.1243564055 11.9803954775285, 90851.24703293203 433763.7693668556 11.97951177942518, 90851.08093848267 433763.8475289494 12.38534072928065)));-0.4050294562414747;0.018372253894897297;ID_0599100000765391
RCID_1e449bb6-c899-453c-86fc-2f8868f8367c;POLYGON Z ((90851.79759330681 433765.6691545866 11.98424104206059, 90851.64397304942 433765.7625937122 12.47613959553866, 90851.80022605913 433766.1312805889 12.47613959553866, 90851.926706478 433766.1146781472 11.98535011224478, 90851.79759330681 433765.6691545866 11.98424104206059));-0.7913296784701359;-0.7913296784701359;ID_0599100000765391
RCID_4cdf5912-817b-4548-9056-9be1cf912ada;MULTIPOLYGON Z (((90848.38425511101 433763.9013728015 12.7892206047716, 90848.54134405835 433763.8870128701 12.4883955917266, 90848.71423699147 433764.0944843898 12.4883955917266, 90848.8198659578 433764.0833998686 12.4883955917266, 90849.04636573202 433763.797661692 12.79418694012472, 90848.97199999999 433763.538 12.793214359978, 90848.952 433763.544 12.7852268495652, 90848.64961633443 433763.6316225394 12.66477728599003, 90848.3030145174 433763.7320582932 12.5267141484941, 90848.00120064145 433763.8195157232 12.40649155124922, 90848.20901564947 433764.0779921013 12.7892206047716, 90848.38425511101 433763.9013728015 12.7892206047716)), ((90847.68439681336 433764.178099393 12.0140530672736, 90847.70193649607 433763.9062343108 12.28728459727826, 90847.34451106894 433764.0098064516 12.14491005257763, 90847.22891018257 433764.0433044357 12.09886233936924, 90847.016 433764.105 12.0140530672736, 90847.16182374227 433764.6081857887 12.01656992599634, 90847.34026280044 433764.5485438116 12.4883955917266, 90847.43558496911 433764.4486278035 12.2512243295001, 90847.6352605034 433764.3423113793 12.0140530672736, 90847.6935680389 433764.2549250214 12.0140530672736, 90847.68439681336 433764.178099393 12.4883955917266)));-0.25580517245819884;0.021351564134285402;ID_0599100000765391
RCID_fc4a4242-a672-4d32-babd-6ae8777ddde6;POLYGON Z ((90857.03933316621 433777.3834980431 11.7799171030777, 90857.27851066746 433777.2026200578 11.7799171030777, 90857.38621887437 433776.808505937 11.7799171030777, 90857.35539427365 433776.5135262137 11.79764342572141, 90856.61626475038 433776.7277150814 11.80287805567532, 90855.9458588261 433776.9219888606 11.80762597443925, 90855.49645790254 433777.0522186403 11.81080870150098, 90855.02468720646 433777.1889308512 11.81414985476215, 90854.7078683164 433777.280740307 11.81639361529348, 90854.39093791858 433777.3725820762 11.81863816554014, 90854.31372157781 433777.3949582363 11.8191850236449, 90853.77804214532 433777.5501902592 11.82297878849225, 90853.45990034239 433777.6423830758 11.82523191809778, 90853.16099999999 433777.729 11.8273487766947, 90853.28638571189 433778.1990217877 11.82182865296868, 90853.43465434262 433778.7548226507 11.81530110549906, 90853.71912441381 433778.5105707619 11.78517991300513, 90853.74397990566 433778.5114691532 11.7799171030777, 90853.99010069204 433778.3000251787 11.7799171030777, 90854.00036195827 433778.3004722041 11.7799171030777, 90854.22301568471 433778.5848517161 11.7799171030777, 90854.24587527783 433778.5862652091 11.7799171030777, 90854.47980787765 433778.3838740834 11.7799171030777, 90854.50157393461 433778.3850392899 11.7799171030777, 90854.72982900284 433778.1907254957 11.7799171030777, 90854.74856054825 433778.1912571772 11.7799171030777, 90854.97758941064 433777.9985686878 11.8273487766947, 90854.9939256994 433777.9994064461 11.8273487766947, 90855.2422355774 433777.7973093858 11.8273487766947, 90855.47341310068 433778.0853947537 11.7799171030777, 90855.51798535329 433778.0844219467 11.7799171030777, 90855.73017917087 433777.8801944499 11.8273487766947, 90855.76729385713 433777.8785415691 11.8273487766947, 90856.0004241657 433777.6809863401 11.8273487766947, 90856.02471261739 433777.681033229 11.8273487766947, 90856.26062716995 433777.9848288557 11.7799171030777, 90856.52886754046 433777.7958225638 11.7799171030777, 90856.5325351248 433777.7793511806 11.7799171030777, 90856.78609775966 433777.5903752546 11.7799171030777, 90856.79042467789 433777.5737887347 11.7799171030777, 90857.03560998036 433777.3974672055 11.7799171030777, 90857.03933316621 433777.3834980431 11.7799171030777));-0.19760978185373515;0.044467036371185834;ID_0599100000765391
RCID_fc4a4242-a672-4d32-babd-6ae8777ddde6;MULTIPOLYGON Z (((90854.43366317423 433781.2790594576 11.7641286732954, 90854.43142518168 433781.2864462957 11.7641286732954, 90854.67058161944 433781.5970897122 11.7641286732954, 90854.71775003815 433781.5956572656 11.7641286732954, 90854.915769538 433781.399862704 11.7641286732954, 90854.68429513104 433781.101260719 11.7641286732954, 90854.43366317423 433781.2790594576 11.7641286732954)), ((90861.40280268116 433780.654707844 11.7552685478933, 90861.19278296203 433780.3824978197 11.7799171030777, 90861.18363479548 433780.3819793002 11.7799171030777, 90860.93703498674 433780.5775584588 11.7552685478933, 90860.92307281781 433780.5772364801 11.7552685478933, 90860.68561860846 433780.7808893785 11.7552685478933, 90860.66878582016 433780.7797900944 11.7552685478933, 90860.4231577943 433780.4624192293 11.7799171030777, 90860.17212915243 433780.6575831156 11.7552685478933, 90860.16953686024 433780.665950641 11.7552685478933, 90859.92352988812 433780.8445489231 11.7552685478933, 90859.92058998097 433780.8537886313 11.7552685478933, 90859.67800866514 433781.0415828446 11.7552685478933, 90859.42811901917 433780.71431503 11.7552685478933, 90859.40678834176 433780.714747701 11.7552685478933, 90859.17178191202 433780.920378327 11.7799171030777, 90859.15282309715 433780.9198578889 11.7799171030777, 90858.90245783119 433781.1221073546 11.7799171030777, 90858.87836286228 433781.1215856132 11.7799171030777, 90858.65408874363 433781.322371564 11.7799171030777, 90858.6223037153 433781.3234179847 11.7799171030777, 90858.40237677736 433781.5144656278 11.7799171030777, 90858.36085984399 433781.5145501836 11.7799171030777, 90858.143884176 433781.2322712205 11.7799171030777, 90857.88961400041 433781.432904824 11.7799171030777, 90857.64112018587 433781.620833838 11.7799171030777, 90857.40006077383 433781.8111654342 11.7799171030777, 90857.38713001256 433781.8105646687 11.7799171030777, 90857.18088364492 433781.5425546829 11.7799171030777, 90856.92922083038 433781.7308491629 11.7799171030777, 90856.92722441649 433781.7437301347 11.7799171030777, 90856.66020999949 433781.9356764416 11.7799171030777, 90856.41134957301 433782.138515403 11.7799171030777, 90856.18587921989 433781.8488562061 11.7641286732954, 90856.16315443956 433781.849368445 11.7641286732954, 90855.93355716977 433782.0525036566 11.7641286732954, 90855.91652199428 433782.0520006494 11.7641286732954, 90855.67259758177 433782.243485286 11.7641286732954, 90855.64996907099 433782.2435778361 11.7641286732954, 90855.42808013337 433782.44327788 11.7641286732954, 90855.40650819123 433782.4435854229 11.7641286732954, 90855.17525218334 433782.1455496053 11.7641286732954, 90855.40422560326 433781.960488896 11.7641286732954, 90855.18937406364 433781.6822385415 11.7641286732954, 90855.41932091983 433781.4843974728 11.7641286732954, 90855.20948704105 433781.2136118482 11.7641286732954, 90855.18173809914 433781.2127623908 11.7641286732954, 90854.95566498938 433781.3993501287 11.7641286732954, 90855.16597654407 433781.681768502 11.7641286732954, 90854.94582883721 433781.8640153216 11.7641286732954, 90855.15825894735 433782.1453722228 11.7641286732954, 90854.93011655947 433782.3366668711 11.7641286732954, 90854.91296331951 433782.336383931 11.7641286732954, 90854.67659374871 433782.532815195 11.7799171030777, 90854.44042344888 433782.5250560066 11.77102197813586, 90854.59699999999 433783.112 11.7641286732954, 90854.86073835399 433783.0355477183 11.7638285506535, 90855.36709795895 433782.8887645655 11.76325233570379, 90855.7034534564 433782.7912620793 11.76286957794794, 90855.79773674849 433782.7639313073 11.76276228771017, 90856.32725433813 433782.6104351347 11.76215971999288, 90856.68855364907 433782.505701954 11.76174857727484, 90856.73631788562 433782.491856092 11.76169422367537, 90856.87686138225 433782.2212640297 11.7799171030777, 90857.17511909342 433782.364656718 11.76119488720893, 90857.37882086124 433782.3056077981 11.76096308356038, 90857.70192560872 433782.2119464296 11.76059540457494, 90858.02393669402 433782.1186020912 11.76022897012894, 90858.05547636347 433782.1094593948 11.7601930793729, 90858.70859994875 433781.9201324063 11.75944985347147, 90859.03746812943 433781.824800338 11.75907561595262, 90859.07297494201 433781.8145076491 11.75903521076228, 90859.72398801458 433781.6257924545 11.75829438653143, 90860.04976462435 433781.5313565686 11.75792366708427, 90860.11791970163 433781.5115998245 11.75784610960526, 90860.70875487683 433781.3403289549 11.75717376517369, 90860.87601508561 433781.2918436876 11.75698343041585, 90861.38826201479 433781.1433539215 11.75640051595022, 90861.70742056234 433781.0508364745 11.75603732756666, 90861.86831533496 433781.0041964152 11.75585423639507, 90862.383 433780.855 11.7552685478933, 90862.28595835049 433780.5170273586 11.7563831609894, 90862.15822672383 433780.0721689347 11.75785027685753, 90862.07113573646 433779.7688520476 11.75885059739586, 90861.93224890936 433779.2851427533 11.76044584105806, 90861.80230993434 433778.8325966679 11.76193831036355, 90861.69753070008 433778.4676758865 11.76314179677684, 90861.68185408147 433778.4130780079 11.76332185724047, 90861.26106204197 433778.3725833765 11.7799171030777, 90860.7375971549 433778.765654483 11.7799171030777, 90860.76764045938 433778.8041018609 11.7799171030777, 90860.79532976249 433778.8156565777 11.7799171030777, 90861.21213638694 433778.8489310561 11.7799171030777, 90861.43784833713 433779.1341590927 11.7799171030777, 90861.2137157493 433779.3316996786 11.7799171030777, 90861.46117997399 433779.6489615051 11.7799171030777, 90861.20954512215 433779.851753587 11.7799171030777, 90861.20736561497 433779.8601557452 11.7799171030777, 90861.44898611365 433780.1711302759 11.7799171030777, 90861.67088501266 433780.4532720015 11.7799171030777, 90861.41555002444 433780.6562155943 11.7552685478933, 90861.40280268116 433780.654707844 11.7552685478933)));-0.01734906563883406;0.07401051318253107;ID_0599100000765391
RCID_fc4a4242-a672-4d32-babd-6ae8777ddde6;POLYGON Z ((90857.17511909342 433782.364656718 11.76119488720893, 90856.87686138225 433782.2212640297 11.7799171030777, 90856.73631788562 433782.491856092 11.76169422367537, 90857.17511909342 433782.364656718 11.76119488720893));-0.9358278065081796;-0.9358278065081796;ID_0599100000765391
RCID_9c9a522b-e7cd-465f-980b-bb19eb4ad356;MULTIPOLYGON Z (((90846.58414903673 433764.7919045977 10.8776114659849, 90846.86306783404 433764.7936963672 10.40794412984462, 90847.06829737795 433765.0462138245 11.0972762662337, 90847.29121796649 433765.0546791633 11.09521479055802, 90847.21307563638 433764.7850378182 11.0958001030462, 90847.09066602627 433764.3626458588 11.09671699243734, 90847.016 433764.105 11.0972762662337, 90846.58414903673 433764.7919045977 10.8776114659849)), ((90847.44679868617 433765.5915328055 11.09404943833426, 90847.29705580356 433765.9112779018 10.40794412984462, 90847.5805378182 433766.0530189091 11.09304768699116, 90847.44679868617 433765.5915328055 11.09404943833426)), ((90847.66259498836 433766.3361689727 11.09243305102648, 90847.55917821782 433766.6618217822 10.40794412984462, 90847.79019614974 433766.7764751262 11.09147727516, 90847.66259498836 433766.3361689727 11.09243305102648)));0.5499668296592087;0.9537504929327956;ID_0599100000765391
RCID_9c9a522b-e7cd-465f-980b-bb19eb4ad356;POLYGON Z ((90848.22193830868 433768.2662635201 11.0882433803304, 90848.05576813588 433768.6987947052 10.40794412984462, 90847.90901908635 433768.7048587155 10.40794412984462, 90847.67337156498 433768.985214067 10.40794412984462, 90847.66415644264 433769.1507982964 10.80479672238895, 90848.32351075037 433768.955766065 11.05277274531716, 90848.414 433768.929 11.0868047732875, 90848.22193830868 433768.2662635201 11.0882433803304));0.46388101379752866;0.813029532059156;ID_0599100000765391
RCID_8c7eb452-b0df-4e02-acb9-da9e353ab7c6;MULTIPOLYGON Z (((90849.16126916801 433768.7126345841 11.36736634267536, 90849.52803519064 433768.8960175953 11.5765683705262, 90849.54577851381 433768.8895327259 11.5765683705262, 90849.69331975062 433768.5585838744 11.56712427843192, 90849.16126916801 433768.7126345841 11.36736634267536)), ((90848.72449844921 433769.0710722137 11.5765683705262, 90848.82220113126 433769.0627999042 11.5765683705262, 90849.03354160297 433768.8053980477 11.5765683705262, 90849.03614935615 433768.7488619587 11.32039021642886, 90848.67441380213 433768.853599404 11.18457691235456, 90848.414 433768.929 11.0868047732875, 90848.54080435859 433769.1640702245 11.10658657387046, 90848.72449844921 433769.0710722137 11.5765683705262)));0.6224005850606826;1.0036371955228318;ID_0599100000765391
RCID_a3b8902e-5dd6-4340-8fab-f1113e5daaa8;POLYGON Z ((90854.99108114035 433801.4423355263 9.331244891907399, 90854.74297425163 433801.6216244459 9.331244891907399, 90854.73790370567 433801.6546932239 9.331244891907399, 90854.48194186937 433801.8277635048 9.331244891907399, 90854.47698013375 433801.8618942315 9.331244891907399, 90854.65909642751 433802.0858362769 9.331244891907399, 90854.53206652701 433802.2773787447 9.331244891907399, 90854.41458664321 433802.3398611205 9.331244891907399, 90854.39197950585 433802.4236302031 9.331244891907399, 90854.61307719354 433802.6955206029 9.331244891907399, 90854.86836280909 433802.5339972968 9.331244891907399, 90855.08044018128 433802.7934221752 9.331244891907399, 90855.33129472625 433802.6405203574 9.331244891907399, 90855.34215581241 433802.5902741203 9.331244891907399, 90855.5889248326 433802.4233181826 9.331244891907399, 90855.5985330257 433802.3765920225 9.331244891907399, 90855.38678771282 433802.1146187517 9.331244891907399, 90855.15295713367 433802.2606729288 9.331244891907399, 90854.94386230088 433801.9216858514 9.331244891907399, 90854.94725384342 433801.9114433929 9.331244891907399, 90855.18242404917 433801.7860625926 9.331244891907399, 90855.40086384202 433802.0546032554 9.331244891907399, 90855.65854850721 433801.8966928356 9.331244891907399, 90855.6705634782 433801.8410506884 9.331244891907399, 90855.44674250326 433801.5643830943 9.331244891907399, 90855.20662282479 433801.7085929012 9.331244891907399, 90854.99108114035 433801.4423355263 9.331244891907399));-0.045279155357535184;0.409306092804987;ID_0599100000765391
