apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
south;7049;239;LINESTRING (90479.20856199958 433916.2342301013, 90477.17069907713 433915.3649595749, 90474.89712280978 433914.8311254445, 90475.24712963955 433911.2395778133, 90477.52122955426 433911.7733754007, 90479.55969135593 433912.6425283994, 90479.20856199958 433916.2342301013);15.978915262472153;0.0;0.9554834840255422
south;7050;238;LINESTRING (90474.54654722702 433918.4231721715, 90472.27323283613 433917.8893195405, 90469.594136999 433917.4718891352, 90469.94379900147 433913.8798912471, 90472.62328467451 433914.2973096658, 90474.89712280978 433914.8311254445, 90474.54654722702 433918.4231721715);18.12382133331485;0.13198672709910103;0.8944634002330384
south;7050;239;LINESTRING (90474.89686095846 433914.8311438059, 90472.62328467451 433914.2973096658, 90469.94399390556 433913.8798852772, 90470.2955831993 433910.3503619452, 90472.97329151092 433910.7057620119, 90475.24739144222 433911.2395596035, 90474.89686095846 433914.8311438059);18.02606378417222;0.0;0.914852271912427
south;7050;240;LINESTRING (90475.24712963955 433911.2395778133, 90472.97329151092 433910.7057620119, 90470.29380584334 433910.2883435576, 90470.64549058684 433906.7626796865, 90473.32538707201 433907.1801120053, 90475.59761520177 433907.6484543134, 90475.24712963955 433911.2395778133);17.85891463936165;0.0;0.8028747923472606
south;7050;241;LINESTRING (90475.59948699668 433907.7139096247, 90473.32538707201 433907.1801120053, 90470.6476787648 433906.8247119107, 90470.99737089177 433903.2372454242, 90473.677462205 433903.6546720457, 90475.94992781458 433904.1232450153, 90475.59948699668 433907.7139096247);17.92747226083869;0.0;0.9949047847322553
south;7050;242;LINESTRING (90475.94969032891 433904.1230143802, 90473.677462205 433903.6546720457, 90470.9975657249 433903.2372396967, 90471.34709742751 433899.646582079, 90474.02738353613 433900.0640030801, 90476.30008658062 433900.5328068404, 90475.94969032891 433904.1230143802);18.092512939276496;0.0;0.9297249811017699
south;7051;238;LINESTRING (90469.59394206217 433917.4718951845, 90466.91484620154 433917.0544647725, 90465.01738964694 433916.5480912856, 90465.36673758025 433912.9561480128, 90467.26450820939 433913.4624668544, 90469.94399390556 433913.8798852772, 90469.59394206217 433917.4718951845);16.76320450755999;0.024667646609306614;1.0
south;7051;243;LINESTRING (90471.34709742751 433899.646582079, 90468.66700609628 433899.2291554269, 90466.76880175855 433898.7228748432, 90467.11797546956 433895.1327250678, 90469.01649357004 433895.6389526232, 90471.69697446497 433896.0563680893, 90471.34709742751 433899.646582079);16.76105191812409;0.571060511842202;0.7480715990137162
south;7051;244;LINESTRING (90471.69677969684 433896.0563736635, 90469.01649357004 433895.6389526232, 90467.11813233637 433895.1326986251, 90467.46726206096 433891.5430015558, 90469.36593698669 433892.0492028494, 90472.04661261264 433892.4666128572, 90471.69677969684 433896.0563736635);16.760188139310063;0.9893384443643055;0.9893384443643878
south;7051;245;LINESTRING (90472.04641787634 433892.4666183453, 90469.36593698669 433892.0492028494, 90467.46741889245 433891.5429752751, 90467.81650480689 433887.953729086, 90469.71533652267 433888.4599042832, 90472.3939522315 433888.8131140082, 90472.04641787634 433892.4666183453);16.829637351252998;0.9438563739495506;0.97213564529942
south;7051;246;LINESTRING (90472.39601214355 433888.8773143207, 90469.71533652267 433888.4599042832, 90467.81666160325 433887.9537029671, 90468.16570388424 433884.3649058517, 90470.06469235514 433884.8710551086, 90472.74347852636 433885.2245079105, 90472.39601214355 433888.8773143207);16.8284597612704;0.2679991897222082;0.7024235318308687
south;7052;237;LINESTRING (90464.66768251949 433920.1405531029, 90462.77038304132 433919.6341520491, 90460.10314473064 433919.0638950301, 90460.45226898702 433915.4715531244, 90463.11977602268 433916.0417452066, 90465.01738964694 433916.5480912856, 90464.66768251949 433920.1405531029);16.77484803795734;0.0;0.9969128585762137
south;7052;238;LINESTRING (90465.0172325887 433916.5481187005, 90463.11977602268 433916.0417452066, 90460.45240333682 433915.4715207185, 90460.80148261614 433911.8796420475, 90463.46912396222 433912.4498019172, 90465.36689460279 433912.956120763, 90465.0172325887 433916.5481187005);16.773709414459383;0.0;1.0
south;7052;239;LINESTRING (90465.36673758025 433912.9561480128, 90463.46912396222 433912.4498019172, 90460.80161693352 433911.8796098034, 90461.15275739986 433908.3537637232, 90463.82043436353 433908.9202927649, 90465.71832688517 433909.4266246302, 90465.36673758025 433912.9561480128);16.48613035674822;0.0;1.0
south;7052;240;LINESTRING (90465.71820499806 433909.4266116339, 90463.82043436353 433908.9202927649, 90461.15279302446 433908.350132863, 90461.503913022 433904.8244978174, 90464.17184232813 433905.3946403916, 90466.06988975187 433905.9009477036, 90465.71820499806 433909.4266116339);16.475305097925634;0.0;0.9998934856391704
south;7052;241;LINESTRING (90466.06973484359 433905.9009722789, 90464.17184232813 433905.3946403916, 90461.5041653713 433904.8281113173, 90461.85315908829 433901.2371143417, 90464.52122262679 433901.8072251753, 90466.41942698201 433902.3135057398, 90466.06973484359 433905.9009722789);16.760095008642693;0.07731318283524136;0.8243869217595818
south;7052;246;LINESTRING (90467.81650480689 433887.953729086, 90465.91782987595 433887.4475277672, 90463.24936383934 433886.8775111774, 90463.59813794198 433883.2887761264, 90466.26687216311 433883.8587306292, 90468.16586064557 433884.3648798951, 90467.81650480689 433887.953729086);16.767181442428644;0.11961305599485927;0.7445764011702826
south;7052;247;LINESTRING (90468.16570388424 433884.3649058517, 90466.26687216311 433883.8587306292, 90463.59827202183 433883.2887451472, 90463.9470027308 433879.7004570339, 90466.6158709931 433880.2703807485, 90468.51501619568 433880.7765042387, 90468.16570388424 433884.3649058517);16.766115721277313;0.055957840378502315;0.9871102542230948
